anime_id;title;title_english;type;episodes;status;rating;rank;genre;release
ca08097b-385c-476a-8483-021a42c29f5d;Bakuman. 3rd Season;Bakuman.;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;50.0;Comedy, Drama, Romance, Shounen;06/10/2012
8e935716-6952-4313-a483-8396785028a8;One Piece;One Piece;TV;0.0;Currently Airing;PG-13 - Teens 13 or older;91.0;Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen;20/10/1999
e98e1854-96e0-4033-9334-795553c98094;Gintama.: Shirogane no Tamashii-hen;;TV;12.0;Finished Airing;PG-13 - Teens 13 or older;25.0;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;08/01/2018
bdf20729-5c31-4707-a364-d2a09be4a326;Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen;Descending Stories: Showa Genroku Rakugo Shinju;TV;12.0;Finished Airing;PG-13 - Teens 13 or older;24.0;Drama, Historical, Josei;07/01/2017
da0d786f-6723-4ef5-86b6-3375fc0b79ae;Hunter x Hunter (2011);Hunter x Hunter;TV;148.0;Finished Airing;PG-13 - Teens 13 or older;8.0;Action, Adventure, Super Power, Shounen;02/10/2011
487e5c6d-f11e-4bdb-8529-1244e4d05c36;Natsume Yuujinchou Go;Natsume&#039 s Book of Friends Season 5;TV;11.0;Finished Airing;PG-13 - Teens 13 or older;63.0;Slice of Life, Supernatural, Drama, Fantasy, Shoujo;05/10/2016
54d599cb-4674-4e49-84a1-b0073e56bd89;Saiki Kusuo no Ψ-nan (TV);The Disastrous Life of Saiki K.;TV;120.0;Finished Airing;PG-13 - Teens 13 or older;79.0;Slice of Life, Comedy, Supernatural, School, Shounen;04/07/2016
f884a297-a822-44f7-972c-e98bbc9c2788;Saiki Kusuo no Ψ-nan (TV) 2;The Disastrous Life of Saiki K. 2;TV;24.0;Currently Airing;PG-13 - Teens 13 or older;52.0;Slice of Life, Comedy, Supernatural, School, Shounen;17/01/2018
07eefce1-5ac9-428a-972f-66676e212fff;Ghost in the Shell: Stand Alone Complex 2nd GIG;Ghost in the Shell: Stand Alone Complex 2nd GIG;TV;26.0;Finished Airing;R - 17+ (violence & profanity);82.0;Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen;01/01/2004
d42db243-f160-4915-bb2f-2698dfc95f25;Haikyuu!! Second Season;Haikyu!! 2nd Season;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;22.0;Comedy, Sports, Drama, School, Shounen;04/10/2015
27709bf0-5566-4e9c-9684-e91a14d43e27;Kimi no Na wa.;Your Name.;Movie;1.0;Finished Airing;PG-13 - Teens 13 or older;2.0;Supernatural, Drama, Romance, School;26/08/2016
952dd6e1-7aa4-4530-b010-fede9aa87abc;Suzumiya Haruhi no Shoushitsu;The Disappearance of Haruhi Suzumiya;Movie;1.0;Finished Airing;PG-13 - Teens 13 or older;45.0;Comedy, Mystery, Romance, School, Sci-Fi, Supernatural;06/02/2010
5788a213-bec0-4e3b-8ad2-e29567558340;Gintama: Yorinuki Gintama-san on Theater 2D;;Movie;2.0;Finished Airing;PG-13 - Teens 13 or older;93.0;Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen;26/08/2012
8093883d-3f4b-4e49-a6e8-f45ae4f04b87;Shouwa Genroku Rakugo Shinjuu;Showa Genroku Rakugo Shinju;TV;13.0;Finished Airing;PG-13 - Teens 13 or older;66.0;Drama, Historical, Josei;09/01/2016
a90e530c-b980-406e-9556-9095161f3ad2;Gintama°;Gintama Season 4;TV;51.0;Finished Airing;R - 17+ (violence & profanity);3.0;Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen;08/04/2015
72c02016-a961-4885-b848-7febdaf46548;3-gatsu no Lion 2nd Season;March Comes In Like A Lion 2nd Season;TV;22.0;Finished Airing;PG-13 - Teens 13 or older;9.0;Drama, Game, Seinen, Slice of Life;14/10/2017
dbe324ae-cff3-4f2a-aeda-d576369eaabb;Sora yori mo Tooi Basho;A Place Further Than The Universe;TV;13.0;Finished Airing;PG-13 - Teens 13 or older;60.0;Slice of Life, Adventure;02/01/2018
ab600a1e-a823-4a53-9403-8f28ff93ceac;Yojouhan Shinwa Taikei;The Tatami Galaxy;TV;11.0;Finished Airing;R - 17+ (violence & profanity);61.0;Mystery, Comedy, Psychological, Romance;23/04/2010
acc0e701-6ab8-493e-88fd-ba929fed2057;Mononoke Hime;Princess Mononoke;Movie;1.0;Finished Airing;PG-13 - Teens 13 or older;29.0;Action, Adventure, Fantasy;12/07/1997
72851ed3-1cd6-4429-a08e-f2f3cbf0ddf2;Howl no Ugoku Shiro;Howl&#039 s Moving Castle;Movie;1.0;Finished Airing;G - All Ages;43.0;Adventure, Drama, Fantasy, Romance;20/11/2004
92d6b181-51be-4842-9c8f-281a8c74d3c8;JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season;JoJo&#039 s Bizarre Adventure: Stardust Crusaders - Battle in Egypt;TV;24.0;Finished Airing;R - 17+ (violence & profanity);78.0;Action, Adventure, Drama, Shounen, Supernatural;10/01/2015
a776a6b9-ac47-4c36-b128-b076a2633f94;Fullmetal Alchemist: Brotherhood;Fullmetal Alchemist: Brotherhood;TV;64.0;Finished Airing;R - 17+ (violence & profanity);1.0;Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen;05/04/2009
3e5a6c28-404a-4afa-9f02-695774b6c23c;Clannad: After Story;Clannad ~After Story~;TV;24.0;Finished Airing;PG-13 - Teens 13 or older;14.0;Slice of Life, Comedy, Supernatural, Drama, Romance;03/10/2008
f72532e6-6cee-4db0-bf93-9519447dd26d;JoJo no Kimyou na Bouken: Diamond wa Kudakenai;JoJo&#039 s Bizarre Adventure: Diamond is Unbreakable;TV;39.0;Finished Airing;R - 17+ (violence & profanity);64.0;Action, Adventure, Comedy, Supernatural, Drama, Shounen;02/04/2016
04944e1f-0bda-4c9c-9fd7-927c1d0c6094;Ookami Kodomo no Ame to Yuki;Wolf Children;Movie;1.0;Finished Airing;PG - Children;34.0;Slice of Life, Fantasy;21/07/2012
b15bb8f3-4c09-4588-94e7-4a8bf2b01b2a;Major S5;;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;90.0;Comedy, Drama, Romance, Sports;10/01/2009
6b83667e-6dba-42b1-9c8c-56e53276fd08;Steins Gate;Steins Gate;TV;24.0;Finished Airing;PG-13 - Teens 13 or older;5.0;Thriller, Sci-Fi;06/04/2011
3dd172e7-6c95-47f1-a0f3-9cd3c5fb8bc2;Fate/Zero 2nd Season;Fate/Zero Season 2;TV;12.0;Finished Airing;R - 17+ (violence & profanity);54.0;Action, Supernatural, Magic, Fantasy;08/04/2012
cae021de-1900-4608-8931-99de5e6876dd;Mushishi Zoku Shou 2nd Season;;TV;10.0;Finished Airing;PG-13 - Teens 13 or older;26.0;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;19/10/2014
1d8c0ebf-fbc8-4729-b397-b09d05a3a072;Kuroshitsuji Movie: Book of the Atlantic;Black Butler: Book of the Atlantic;Movie;1.0;Finished Airing;R - 17+ (violence & profanity);89.0;Action, Comedy, Historical, Demons, Supernatural, Fantasy;21/01/2017
7df7185f-0c5f-4a5f-96b7-86ba8762ef43;Mushishi Zoku Shou;MUSHI-SHI -Next Passage-;TV;10.0;Finished Airing;PG-13 - Teens 13 or older;33.0;Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen;05/04/2014
627c7da4-f006-4217-9d07-3e781e1c55d8;Boku no Hero Academia 2nd Season;My Hero Academia 2;TV;25.0;Finished Airing;PG-13 - Teens 13 or older;35.0;Action, Comedy, Super Power, School, Shounen;01/04/2017
16a82b7b-10ba-404f-a1f9-ecd8469735d6;Mushishi Zoku Shou: Suzu no Shizuku;;Movie;1.0;Finished Airing;PG-13 - Teens 13 or older;47.0;Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural;16/05/2015
59595929-6f6e-42ef-b129-8bec40062fc9;Usagi Drop;Bunny Drop;TV;11.0;Finished Airing;PG-13 - Teens 13 or older;97.0;Josei, Slice of Life;08/07/2011
1ca4f958-b2a2-4105-b7c5-28636ebc79f0;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.;anohana: The Flower We Saw That Day;TV;11.0;Finished Airing;PG-13 - Teens 13 or older;81.0;Slice of Life, Supernatural, Drama;15/04/2011
7df925b5-c9a0-4927-afbb-0dfc68f1cc5f;Hellsing Ultimate;Hellsing Ultimate;OVA;10.0;Finished Airing;R - 17+ (violence & profanity);92.0;Action, Military, Horror, Supernatural, Vampire, Seinen;10/02/2006
e76f4fc6-b62b-4705-9181-370b9fa38c78;Made in Abyss;Made in Abyss;TV;13.0;Finished Airing;R - 17+ (violence & profanity);20.0;Sci-Fi, Adventure, Mystery, Drama, Fantasy;07/07/2017
0259df24-c121-4276-acc5-6a0260659a35;Mob Psycho 100;Mob Psycho 100;TV;12.0;Finished Airing;PG-13 - Teens 13 or older;100.0;Action, Slice of Life, Comedy, Supernatural;11/07/2016
4b9a290c-0795-4286-96f2-af32f6bb1f9f;Slam Dunk;Slam Dunk;TV;101.0;Finished Airing;PG-13 - Teens 13 or older;86.0;Comedy, Sports, Drama, School, Shounen;16/10/1993
bf6788ea-9dfd-42c5-a930-7fa1d38a854c;Kizumonogatari III: Reiketsu-hen;;Movie;1.0;Finished Airing;R - 17+ (violence & profanity);23.0;Action, Mystery, Supernatural, Vampire;06/01/2017
0e59b442-46a2-49bb-840e-9f35b6356053;Shokugeki no Souma: San no Sara - Toutsuki Ressha-hen;;TV;0.0;Currently Airing;PG-13 - Teens 13 or older;74.0;Ecchi, School, Shounen;09/04/2018
887865e7-2e86-4c82-8a75-4d04f7b40052;Dragon Ball Z;Dragon Ball Z;TV;291.0;Finished Airing;PG-13 - Teens 13 or older;228.0;Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;26/04/1989
39e9913f-1f9f-4ede-8665-689ac65cca1a;Dragon Ball;Dragon Ball;TV;153.0;Finished Airing;PG-13 - Teens 13 or older;369.0;Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power;26/02/1986
648a9b6c-0c5c-40f9-9f9c-6375ad0aefea;Naruto;Naruto;TV;220.0;Finished Airing;PG-13 - Teens 13 or older;745.0;Action, Adventure, Comedy, Super Power, Martial Arts, Shounen;03/10/2002
830b23cc-5b16-4928-86ef-f6878135e2cf;Violet Evergarden;Violet Evergarden;TV;13;Finished Airing;PG-13 - Teens 13 or older;58.0;Drama, Fantasy, Slice of Life;11/01/2018
